group_name,student_id,department_grade,name
1,114098000,資管一,王小明
1,114098001,資管一,李佳蓉
1,114098002,資管一,陳冠宇
1,114098003,資管一,林怡君
1,114098004,資管一,張家豪
1,114098005,資管一,黃子涵
1,114098006,資管一,吳承恩
1,114098007,資管一,劉品妤
1,114098008,資管一,蔡政諺
1,114098009,資管一,楊舒婷
2,114098010,資管一,許庭瑋
2,114098011,資管一,鄭雅雯
2,114098012,資管一,謝明哲
2,114098013,資管一,羅欣怡
2,114098014,資管一,何宇軒
2,114098015,資管一,高婉婷
2,114098016,資管二,曾柏翰
2,114098017,資管二,蘇郁婷
2,114098018,資管二,郭信宏
2,114098019,資管二,馬鈺雯
3,114098020,資管二,彭冠霖
3,114098021,資管二,潘怡安
3,114098022,資管二,賴柏宇
3,114098023,資管二,徐詩涵
3,114098024,資管二,周彥廷
3,114098025,資管二,葉佳穎
3,114098026,資管二,杜承澤
3,114098027,資管二,鍾佩珊
3,114098028,資管二,宋哲安
3,114098029,資管二,戴庭瑜
4,114098030,資管二,溫書豪
4,114098031,資管二,卓雨萱
4,114098032,資管三,簡祐誠
4,114098033,資管三,沈芷涵
4,114098034,資管三,侯冠廷
4,114098035,資管三,江語彤
4,114098036,資管三,雷柏勳
4,114098037,資管三,盧品潔
4,114098038,資管三,傅子恩
4,114098039,資管三,汪若晴
5,114098040,資管三,龔家齊
5,114098041,資管三,藍心妍
5,114098042,資管三,嚴品睿
5,114098043,資管三,阮語恩
5,114098044,資管三,康柏霖
5,114098045,資管三,顏欣瑜
5,114098046,資管三,邱子揚
5,114098047,資管三,范語彤
5,114098048,資管四,唐承宇
5,114098049,資管四,紀雨璇
6,114098050,資管四,姚柏辰
6,114098051,資管四,夏婉如
6,114098052,資管四,賀子恆
6,114098053,資管四,施庭安
6,114098054,資管四,呂柏勛
6,114098055,資管四,余詠晴
6,114098056,資管四,包承毅
6,114098057,資管四,龍若涵
6,114098058,資管四,白宇傑
6,114098059,資管四,陶欣穎
7,114098060,資管四,方柏諺
7,114098061,資管四,石芯妤
7,114098062,資管四,任彥廷
7,114098063,資管四,孟語婕
7,114098064,企管一,鄒柏安
7,114098065,企管一,辛雅婷
7,114098066,企管一,程子豪
7,114098067,企管一,董詩涵
7,114098068,企管一,易冠廷
7,114098069,企管一,韓語晴
8,114098070,企管一,卓承翰
8,114098071,企管一,黎欣妤
8,114098072,企管二,沙柏宇
8,114098073,企管二,毛語彤
8,114098074,企管二,畢冠霖
8,114098075,企管二,郝婉晴
8,114098076,企管二,孔柏勛
8,114098077,企管二,安語潔
8,114098078,企管二,褚承恩
8,114098079,企管二,屈心妍
